diagnostic,passed,seed,details_json,asset,run_type
random_residue_group_sizes,True,143,"{""construction"": ""random residue groups use the true PM group-size vector for each prime"", ""random_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}, ""true_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}}",AAPL,full
shuffled_pm_not_identical,True,244,"{""identical_after_projection"": false, ""shuffled_weight_columns"": 10, ""true_weight_columns"": 10}",AAPL,full
random_gate_causal_past_resample,True,345,"{""all_sources_strictly_prior"": true, ""construction"": ""each random gate is a deterministic seeded resample from strictly prior real-gate values"", ""n_gate_values"": 37362, ""random_gate_mean"": 0.43719312659270054, ""random_gate_std"": 0.33953710724868713, ""real_gate_mean"": 0.43658672564564266, ""real_gate_std"": 0.3389057813979971}",AAPL,full
random_residue_group_sizes,True,143,"{""construction"": ""random residue groups use the true PM group-size vector for each prime"", ""random_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}, ""true_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}}",AMZN,full
shuffled_pm_not_identical,True,244,"{""identical_after_projection"": false, ""shuffled_weight_columns"": 10, ""true_weight_columns"": 10}",AMZN,full
random_gate_causal_past_resample,True,345,"{""all_sources_strictly_prior"": true, ""construction"": ""each random gate is a deterministic seeded resample from strictly prior real-gate values"", ""n_gate_values"": 37362, ""random_gate_mean"": 0.4463019996955018, ""random_gate_std"": 0.3423862634875119, ""real_gate_mean"": 0.44198640643228204, ""real_gate_std"": 0.34199243942984503}",AMZN,full
random_residue_group_sizes,True,143,"{""construction"": ""random residue groups use the true PM group-size vector for each prime"", ""random_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}, ""true_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}}",EEM,full
shuffled_pm_not_identical,True,244,"{""identical_after_projection"": false, ""shuffled_weight_columns"": 10, ""true_weight_columns"": 10}",EEM,full
random_gate_causal_past_resample,True,345,"{""all_sources_strictly_prior"": true, ""construction"": ""each random gate is a deterministic seeded resample from strictly prior real-gate values"", ""n_gate_values"": 37362, ""random_gate_mean"": 0.4504641045307628, ""random_gate_std"": 0.33663914478630974, ""real_gate_mean"": 0.44167421257471096, ""real_gate_std"": 0.33380758399937516}",EEM,full
random_residue_group_sizes,True,143,"{""construction"": ""random residue groups use the true PM group-size vector for each prime"", ""random_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}, ""true_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}}",FXI,full
shuffled_pm_not_identical,True,244,"{""identical_after_projection"": false, ""shuffled_weight_columns"": 10, ""true_weight_columns"": 10}",FXI,full
random_gate_causal_past_resample,True,345,"{""all_sources_strictly_prior"": true, ""construction"": ""each random gate is a deterministic seeded resample from strictly prior real-gate values"", ""n_gate_values"": 37440, ""random_gate_mean"": 0.4436055791848197, ""random_gate_std"": 0.33038810032817956, ""real_gate_mean"": 0.4409625443671629, ""real_gate_std"": 0.33145585381510534}",FXI,full
random_residue_group_sizes,True,143,"{""construction"": ""random residue groups use the true PM group-size vector for each prime"", ""random_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}, ""true_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}}",GLD,full
shuffled_pm_not_identical,True,244,"{""identical_after_projection"": false, ""shuffled_weight_columns"": 10, ""true_weight_columns"": 10}",GLD,full
random_gate_causal_past_resample,True,345,"{""all_sources_strictly_prior"": true, ""construction"": ""each random gate is a deterministic seeded resample from strictly prior real-gate values"", ""n_gate_values"": 37362, ""random_gate_mean"": 0.4395144118008619, ""random_gate_std"": 0.3330967869274806, ""real_gate_mean"": 0.44777074738239886, ""real_gate_std"": 0.3325102215861417}",GLD,full
random_residue_group_sizes,True,143,"{""construction"": ""random residue groups use the true PM group-size vector for each prime"", ""random_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}, ""true_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}}",GOOGL,full
shuffled_pm_not_identical,True,244,"{""identical_after_projection"": false, ""shuffled_weight_columns"": 10, ""true_weight_columns"": 10}",GOOGL,full
random_gate_causal_past_resample,True,345,"{""all_sources_strictly_prior"": true, ""construction"": ""each random gate is a deterministic seeded resample from strictly prior real-gate values"", ""n_gate_values"": 37362, ""random_gate_mean"": 0.44045008570198635, ""random_gate_std"": 0.34356854077288906, ""real_gate_mean"": 0.44039777762677046, ""real_gate_std"": 0.3421765629212862}",GOOGL,full
random_residue_group_sizes,True,143,"{""construction"": ""random residue groups use the true PM group-size vector for each prime"", ""random_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}, ""true_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}}",HYG,full
shuffled_pm_not_identical,True,244,"{""identical_after_projection"": false, ""shuffled_weight_columns"": 10, ""true_weight_columns"": 10}",HYG,full
random_gate_causal_past_resample,True,345,"{""all_sources_strictly_prior"": true, ""construction"": ""each random gate is a deterministic seeded resample from strictly prior real-gate values"", ""n_gate_values"": 37362, ""random_gate_mean"": 0.46410883228525107, ""random_gate_std"": 0.3717891998928699, ""real_gate_mean"": 0.4673038481727994, ""real_gate_std"": 0.3759283681485347}",HYG,full
random_residue_group_sizes,True,143,"{""construction"": ""random residue groups use the true PM group-size vector for each prime"", ""random_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}, ""true_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}}",QQQ,full
shuffled_pm_not_identical,True,244,"{""identical_after_projection"": false, ""shuffled_weight_columns"": 10, ""true_weight_columns"": 10}",QQQ,full
random_gate_causal_past_resample,True,345,"{""all_sources_strictly_prior"": true, ""construction"": ""each random gate is a deterministic seeded resample from strictly prior real-gate values"", ""n_gate_values"": 37362, ""random_gate_mean"": 0.4526965147142913, ""random_gate_std"": 0.34521934752190475, ""real_gate_mean"": 0.44717545822253457, ""real_gate_std"": 0.3458395648311821}",QQQ,full
random_residue_group_sizes,True,143,"{""construction"": ""random residue groups use the true PM group-size vector for each prime"", ""random_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}, ""true_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}}",SPY,full
shuffled_pm_not_identical,True,244,"{""identical_after_projection"": false, ""shuffled_weight_columns"": 10, ""true_weight_columns"": 10}",SPY,full
random_gate_causal_past_resample,True,345,"{""all_sources_strictly_prior"": true, ""construction"": ""each random gate is a deterministic seeded resample from strictly prior real-gate values"", ""n_gate_values"": 37362, ""random_gate_mean"": 0.45406968062598857, ""random_gate_std"": 0.3451579222752486, ""real_gate_mean"": 0.447334299241534, ""real_gate_std"": 0.3443554722741353}",SPY,full
random_residue_group_sizes,True,143,"{""construction"": ""random residue groups use the true PM group-size vector for each prime"", ""random_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}, ""true_group_sizes"": {""p2"": [11, 11], ""p3"": [7, 8, 7], ""p5"": [4, 5, 5, 4, 4]}}",TLT,full
shuffled_pm_not_identical,True,244,"{""identical_after_projection"": false, ""shuffled_weight_columns"": 10, ""true_weight_columns"": 10}",TLT,full
random_gate_causal_past_resample,True,345,"{""all_sources_strictly_prior"": true, ""construction"": ""each random gate is a deterministic seeded resample from strictly prior real-gate values"", ""n_gate_values"": 37362, ""random_gate_mean"": 0.4572153789716986, ""random_gate_std"": 0.3398071106781471, ""real_gate_mean"": 0.45322132287403033, ""real_gate_std"": 0.34066934601695303}",TLT,full
